DATE,CPIAUCSL_PCH
1970-01-01,0.53050
1970-02-01,0.52770
1970-03-01,0.52493
1970-04-01,0.52219
1970-05-01,0.25974
1970-06-01,0.51813
1970-07-01,0.25773
1970-08-01,0.25707
1970-09-01,0.51282
1970-10-01,0.51020
1970-11-01,0.50761
1970-12-01,0.50505
1971-01-01,0.25126
1971-02-01,0.00000
1971-03-01,0.25063
1971-04-01,0.25000
1971-05-01,0.49875
1971-06-01,0.49628
1971-07-01,0.24691
1971-08-01,0.24631
1971-09-01,0.24570
1971-10-01,0.24510
1971-11-01,0.24450
1971-12-01,0.24390
1972-01-01,0.24331
1972-02-01,0.48544
1972-03-01,0.00000
1972-04-01,0.24155
1972-05-01,0.24096
1972-06-01,0.24038
1972-07-01,0.23981
1972-08-01,0.23923
1972-09-01,0.47733
1972-10-01,0.23753
1972-11-01,0.47393
1972-12-01,0.23585
1973-01-01,0.47059
1973-02-01,0.70258
1973-03-01,0.93023
1973-04-01,0.69124
1973-05-01,0.45767
1973-06-01,0.68337
1973-07-01,0.00000
1973-08-01,1.80995
1973-09-01,0.44444
1973-10-01,0.88496
1973-11-01,0.65789
1973-12-01,0.87146
1974-01-01,1.07991
1974-02-01,1.06838
1974-03-01,1.05708
1974-04-01,0.62762
1974-05-01,1.03950
1974-06-01,0.82305
1974-07-01,0.61224
1974-08-01,1.21704
1974-09-01,1.40281
1974-10-01,0.79051
1974-11-01,0.98039
1974-12-01,0.77670
1975-01-01,0.77071
1975-02-01,0.57361
1975-03-01,0.38023
1975-04-01,0.37879
1975-05-01,0.18868
1975-06-01,0.75330
1975-07-01,0.93458
1975-08-01,0.37037
1975-09-01,0.73801
1975-10-01,0.54945
1975-11-01,0.72860
1975-12-01,0.54250
1976-01-01,0.35971
1976-02-01,0.17921
1976-03-01,0.17889
1976-04-01,0.17857
1976-05-01,0.53476
1976-06-01,0.53191
1976-07-01,0.52910
1976-08-01,0.52632
1976-09-01,0.52356
1976-10-01,0.52083
1976-11-01,0.34542
1976-12-01,0.51635
1977-01-01,0.51370
1977-02-01,1.02215
1977-03-01,0.50590
1977-04-01,0.67114
1977-05-01,0.33333
1977-06-01,0.49834
1977-07-01,0.49587
1977-08-01,0.49342
1977-09-01,0.32733
1977-10-01,0.48940
1977-11-01,0.64935
1977-12-01,0.48387
1978-01-01,0.64205
1978-02-01,0.47847
1978-03-01,0.63492
1978-04-01,0.78864
1978-05-01,0.93897
1978-06-01,0.77519
1978-07-01,0.76923
1978-08-01,0.61069
1978-09-01,0.91047
1978-10-01,0.90226
1978-11-01,0.59613
1978-12-01,0.59259
1979-01-01,0.88365
1979-02-01,1.02190
1979-03-01,1.01156
1979-04-01,1.00143
1979-05-01,1.13314
1979-06-01,1.12045
1979-07-01,1.10803
1979-08-01,0.95890
1979-09-01,0.94980
1979-10-01,1.07527
1979-11-01,1.06383
1979-12-01,1.18421
1980-01-01,1.43043
1980-02-01,1.28205
1980-03-01,1.39241
1980-04-01,0.99875
1980-05-01,0.98888
1980-06-01,0.97919
1980-07-01,0.12121
1980-08-01,0.72639
1980-09-01,0.84135
1980-10-01,0.95352
1980-11-01,1.06257
1980-12-01,0.93458
1981-01-01,0.92593
1981-02-01,0.91743
1981-03-01,0.68182
1981-04-01,0.56433
1981-05-01,0.67340
1981-06-01,0.89186
1981-07-01,1.10497
1981-08-01,0.76503
1981-09-01,0.97614
1981-10-01,0.32223
1981-11-01,0.42827
1981-12-01,0.31983
1982-01-01,0.31881
1982-02-01,0.31780
1982-03-01,0.00000
1982-04-01,0.31679
1982-05-01,0.94737
1982-06-01,1.14703
1982-07-01,0.51546
1982-08-01,0.20513
1982-09-01,0.00000
1982-10-01,0.40942
1982-11-01,-0.10194
1982-12-01,-0.30612
1983-01-01,0.20471
1983-02-01,0.10215
1983-03-01,0.10204
1983-04-01,0.71356
1983-05-01,0.40486
1983-06-01,0.20161
1983-07-01,0.40241
1983-08-01,0.30060
1983-09-01,0.29970
1983-10-01,0.39841
1983-11-01,0.29762
1983-12-01,0.29674
1984-01-01,0.69034
1984-02-01,0.48972
1984-03-01,0.29240
1984-04-01,0.38873
1984-05-01,0.19361
