"
Date",TSLA,GOOG,MSFT,AMZN,AAPL,SP500
2021/4/26 下午 4:00:00,738.2,2326.74,261.55,3409,134.72,417.61
2021/4/27 下午 4:00:00,704.74,2307.12,261.97,3417.43,134.39,417.52
2021/4/28 下午 4:00:00,694.4,2379.91,254.56,3458.5,133.58,417.4
2021/4/29 下午 4:00:00,677,2429.89,252.51,3471.31,133.48,420.06
2021/4/30 下午 4:00:00,709.44,2410.12,252.18,3467.42,131.46,417.3
2021/5/3 下午 4:00:00,684.9,2395.17,251.86,3386.49,132.54,418.2
2021/5/4 下午 4:00:00,673.6,2354.25,247.79,3311.87,127.85,415.62
2021/5/5 下午 4:00:00,670.94,2356.74,246.47,3270.54,128.1,415.75
2021/5/6 下午 4:00:00,663.54,2381.35,249.73,3306.37,129.74,419.07
2021/5/7 下午 4:00:00,672.37,2398.69,252.46,3291.61,130.21,422.12
2021/5/10 下午 4:00:00,629.04,2341.66,247.18,3190.49,126.85,417.94
2021/5/11 下午 4:00:00,617.2,2308.76,246.23,3223.91,125.91,414.21
2021/5/12 下午 4:00:00,589.89,2239.08,239,3151.94,122.77,405.41
2021/5/13 下午 4:00:00,571.69,2261.97,243.03,3161.47,124.97,410.28
2021/5/14 下午 4:00:00,589.74,2316.16,248.15,3222.9,127.45,416.58
2021/5/17 下午 4:00:00,576.83,2321.41,245.18,3270.39,126.27,415.52
2021/5/18 下午 4:00:00,577.87,2303.43,243.08,3232.28,124.85,411.94
2021/5/19 下午 4:00:00,563.46,2308.71,243.12,3231.8,124.69,410.86
2021/5/20 下午 4:00:00,586.78,2356.09,246.48,3247.68,127.31,415.28
2021/5/21 下午 4:00:00,580.88,2345.1,245.17,3203.08,125.43,414.94
2021/5/24 下午 4:00:00,606.44,2406.67,250.78,3244.99,127.1,419.17
2021/5/25 下午 4:00:00,604.69,2409.07,251.72,3259.05,126.9,418.24
2021/5/26 下午 4:00:00,619.13,2433.53,251.49,3265.16,126.85,419.07
2021/5/27 下午 4:00:00,630.85,2402.51,249.31,3230.11,125.28,419.29
2021/5/28 下午 4:00:00,625.22,2411.56,249.68,3223.07,124.61,420.04
2021/6/1 下午 4:00:00,623.9,2429.81,247.4,3218.65,124.28,419.67
2021/6/2 下午 4:00:00,605.12,2421.28,247.3,3233.99,125.06,420.33
2021/6/3 下午 4:00:00,572.84,2404.61,245.71,3187.01,123.54,418.77
2021/6/4 下午 4:00:00,599.05,2451.76,250.79,3206.22,125.89,422.6
2021/6/7 下午 4:00:00,605.13,2466.09,253.81,3198.01,125.9,422.19
2021/6/8 下午 4:00:00,603.59,2482.85,252.57,3264.11,126.74,422.28
2021/6/9 下午 4:00:00,598.78,2491.4,253.59,3281.15,127.13,421.65
2021/6/10 下午 4:00:00,610.12,2521.6,257.24,3349.65,126.11,423.61
2021/6/11 下午 4:00:00,609.89,2513.93,257.89,3346.83,127.35,424.31
2021/6/14 下午 4:00:00,617.69,2527.04,259.89,3383.87,130.48,425.26
2021/6/15 下午 4:00:00,599.36,2520.66,258.36,3383.13,129.64,424.48
2021/6/16 下午 4:00:00,604.87,2513.93,257.38,3415.25,130.15,422.11
2021/6/17 下午 4:00:00,616.6,2527.42,260.9,3489.24,131.79,421.97
2021/6/18 下午 4:00:00,623.31,2511.35,259.43,3486.9,130.46,414.92
2021/6/21 下午 4:00:00,620.83,2529.1,262.63,3453.96,132.3,420.86
2021/6/22 下午 4:00:00,623.71,2539.99,265.51,3505.44,133.98,423.11
2021/6/23 下午 4:00:00,656.57,2529.23,265.27,3503.82,133.7,422.6
2021/6/24 下午 4:00:00,679.82,2545.64,266.69,3449.08,133.41,425.1
2021/6/25 下午 4:00:00,671.87,2539.9,265.02,3401.46,133.11,426.61
2021/6/28 下午 4:00:00,688.72,2536.39,268.72,3443.89,134.78,427.47
2021/6/29 下午 4:00:00,680.76,2520.37,271.4,3448.14,136.33,427.7
2021/6/30 下午 4:00:00,679.7,2506.32,270.9,3440.16,136.96,428.06
2021/7/1 下午 4:00:00,677.92,2527.37,271.6,3432.97,137.27,430.43
2021/7/2 下午 4:00:00,678.9,2574.38,277.65,3510.98,139.96,433.72
2021/7/6 下午 4:00:00,659.58,2595.42,277.66,3675.74,142.02,432.93
2021/7/7 下午 4:00:00,644.65,2601.55,279.93,3696.58,144.57,434.46
2021/7/8 下午 4:00:00,652.81,2583.54,277.42,3731.41,143.24,430.92
2021/7/9 下午 4:00:00,656.95,2591.49,277.94,3719.34,145.11,435.52
2021/7/12 下午 4:00:00,685.7,2611.28,277.32,3718.55,144.5,437.08
2021/7/13 下午 4:00:00,668.54,2619.89,280.98,3677.36,145.64,435.59
2021/7/14 下午 4:00:00,653.38,2641.65,282.51,3681.68,149.15,436.24
2021/7/15 下午 4:00:00,650.6,2625.33,281.03,3631.2,148.48,434.75
2021/7/16 下午 4:00:00,644.22,2636.91,280.75,3573.63,146.39,431.34
2021/7/19 下午 4:00:00,646.22,2585.08,277.01,3549.59,142.45,424.97
2021/7/20 下午 4:00:00,660.5,2622.03,279.32,3573.19,146.15,431.06
2021/7/21 下午 4:00:00,655.29,2652.01,281.4,3585.2,145.4,434.55
2021/7/22 下午 4:00:00,649.26,2666.57,286.14,3638.03,146.8,435.46
2021/7/23 下午 4:00:00,643.38,2756.32,289.67,3656.64,148.56,439.94
2021/7/26 下午 4:00:00,657.62,2792.89,289.05,3699.82,148.99,441.02
2021/7/27 下午 4:00:00,644.78,2735.93,286.54,3626.39,146.77,439.01
2021/7/28 下午 4:00:00,646.98,2727.63,286.22,3630.32,144.98,438.83
2021/7/29 下午 4:00:00,677.35,2730.81,286.5,3599.92,145.64,440.65
2021/7/30 下午 4:00:00,687.2,2704.42,284.91,3327.59,145.86,438.51
2021/8/2 下午 4:00:00,709.67,2719.79,284.82,3331.48,145.52,437.59
2021/8/3 下午 4:00:00,709.74,2725.6,287.12,3366.24,147.36,441.15
2021/8/4 下午 4:00:00,710.92,2720.57,286.51,3354.72,146.95,438.98
2021/8/5 下午 4:00:00,714.63,2738.8,289.52,3375.99,147.06,441.76
2021/8/6 下午 4:00:00,699.1,2740.72,289.46,3344.94,146.14,442.49
2021/8/9 下午 4:00:00,713.76,2760.04,288.33,3341.87,146.09,442.13
2021/8/10 下午 4:00:00,709.99,2761.93,286.44,3320.68,145.6,442.68
2021/8/11 下午 4:00:00,707.82,2753.79,286.95,3292.11,145.86,443.78
2021/8/12 下午 4:00:00,722.25,2767.79,289.81,3303.5,148.89,445.11
2021/8/13 下午 4:00:00,717.17,2768.12,292.85,3293.97,149.1,445.92
2021/8/16 下午 4:00:00,686.17,2778.32,294.6,3298.99,151.12,446.97
2021/8/17 下午 4:00:00,665.71,2746.01,293.08,3241.96,150.19,444.04
2021/8/18 下午 4:00:00,688.99,2731.4,290.73,3201.22,146.36,439.18
2021/8/19 下午 4:00:00,673.47,2738.27,296.77,3187.75,146.7,439.86
2021/8/20 下午 4:00:00,680.26,2768.74,304.36,3199.95,148.19,443.36
2021/8/23 下午 4:00:00,706.3,2821.99,304.65,3265.87,149.71,447.26
2021/8/24 下午 4:00:00,708.49,2847.97,302.62,3305.78,149.62,447.97
2021/8/25 下午 4:00:00,711.2,2859,302.01,3299.18,148.36,448.91
2021/8/26 下午 4:00:00,701.16,2842.46,299.09,3316,147.54,446.26
2021/8/27 下午 4:00:00,711.92,2891.01,299.72,3349.63,148.6,450.25
2021/8/30 下午 4:00:00,730.91,2909.39,303.59,3421.57,153.12,452.23
2021/8/31 下午 4:00:00,735.72,2909.24,301.88,3470.79,151.83,451.56
2021/9/1 下午 4:00:00,734.09,2916.84,301.83,3479,152.51,451.8
2021/9/2 下午 4:00:00,732.39,2884.38,301.15,3463.12,153.65,453.19
2021/9/3 下午 4:00:00,733.57,2895.5,301.14,3478.05,154.3,453.08
2021/9/7 下午 4:00:00,752.92,2910.38,300.18,3509.29,156.69,451.46
2021/9/8 下午 4:00:00,753.87,2897.67,300.21,3525.5,155.11,450.91
2021/9/9 下午 4:00:00,754.86,2898.27,297.25,3484.16,154.07,448.98
2021/9/10 下午 4:00:00,736.27,2838.42,295.71,3469.15,148.97,445.44
2021/9/13 下午 4:00:00,743,2869.3,296.99,3457.17,149.55,446.58
2021/9/14 下午 4:00:00,744.49,2868.12,299.79,3450,148.12,444.17
2021/9/15 下午 4:00:00,755.83,2904.12,304.82,3475.79,149.03,447.88
2021/9/16 下午 4:00:00,756.99,2887.47,305.22,3488.24,148.79,447.17
2021/9/17 下午 4:00:00,759.49,2829.27,299.87,3462.52,146.06,441.4
2021/9/20 下午 4:00:00,730.17,2780.34,294.3,3355.73,142.94,434.04
2021/9/21 下午 4:00:00,739.38,2792.93,294.8,3343.63,143.43,433.63
2021/9/22 下午 4:00:00,751.94,2818.77,298.58,3380.05,145.85,437.86
2021/9/23 下午 4:00:00,753.64,2836.53,299.56,3416,146.83,443.18
2021/9/24 下午 4:00:00,774.39,2852.66,299.35,3425.52,146.92,443.91
2021/9/27 下午 4:00:00,791.36,2830.02,294.17,3405.8,145.37,442.64
2021/9/28 下午 4:00:00,777.56,2723.68,283.52,3315.96,141.91,433.72
2021/9/29 下午 4:00:00,781.31,2690.42,284,3301.12,142.83,434.45
2021/9/30 下午 4:00:00,775.48,2665.31,281.92,3285.04,141.5,429.14
2021/10/1 下午 4:00:00,775.22,2729.25,289.1,3283.26,142.65,434.24
2021/10/4 下午 4:00:00,781.53,2675.3,283.11,3189.78,139.14,428.64
2021/10/5 下午 4:00:00,780.59,2723.54,288.76,3221,141.11,433.1
2021/10/6 下午 4:00:00,782.75,2747.08,293.11,3262.01,142,434.9
2021/10/7 下午 4:00:00,793.61,2783.71,294.85,3302.43,143.29,438.66
2021/10/8 下午 4:00:00,785.49,2801.12,294.85,3288.62,142.9,437.86
2021/10/11 下午 4:00:00,791.94,2776.95,294.23,3246.3,142.81,434.69
2021/10/12 下午 4:00:00,805.72,2734.26,292.88,3247.33,141.51,433.62
2021/10/13 下午 4:00:00,811.08,2758,296.31,3284.28,140.91,435.18
2021/10/14 下午 4:00:00,818.32,2828.24,302.75,3299.86,143.76,442.5
2021/10/15 下午 4:00:00,843.03,2833.5,304.21,3409.02,144.84,445.87
2021/10/18 下午 4:00:00,870.11,2859.21,307.29,3446.74,146.55,447.19
2021/10/19 下午 4:00:00,864.27,2876.44,308.23,3444.15,148.76,450.64
2021/10/20 下午 4:00:00,865.8,2848.3,307.41,3415.06,149.26,452.41
2021/10/21 下午 4:00:00,894,2855.61,310.76,3435.01,149.48,453.59
2021/10/22 下午 4:00:00,909.68,2772.5,309.16,3335.55,148.69,453.12
2021/10/25 下午 4:00:00,1024.86,2775.46,308.13,3320.37,148.64,455.55
2021/10/26 下午 4:00:00,1018.43,2793.44,310.11,3376.07,149.32,455.96
2021/10/27 下午 4:00:00,1037.86,2928.55,323.17,3392.49,148.85,453.94
2021/10/28 下午 4:00:00,1077.04,2922.58,324.35,3446.57,152.57,458.32
2021/10/29 下午 4:00:00,1114,2965.41,331.62,3372.43,149.8,459.25
2021/11/1 下午 4:00:00,1208.59,2875.48,329.37,3318.11,148.96,460.04
2021/11/2 下午 4:00:00,1172,2917.26,333.13,3312.75,150.02,461.9
2021/11/3 下午 4:00:00,1213.86,2935.8,334,3384,151.49,464.72
2021/11/4 下午 4:00:00,1229.91,2973.66,336.44,3477,150.96,466.91
2021/11/5 下午 4:00:00,1222.09,2984.82,336.06,3518.99,151.28,468.53
2021/11/8 下午 4:00:00,1162.94,2987.03,336.99,3488.98,150.44,468.93
2021/11/9 下午 4:00:00,1023.5,2984.97,335.95,3576.23,150.81,467.38
2021/11/10 下午 4:00:00,1067.95,2932.52,330.8,3482.05,147.92,463.62
2021/11/11 下午 4:00:00,1063.51,2934.96,332.43,3472.5,147.87,463.77
2021/11/12 下午 4:00:00,1033.42,2992.91,336.72,3525.15,149.99,467.27
2021/11/15 下午 4:00:00,1013.39,2987.76,336.07,3545.68,150,467.43
2021/11/16 下午 4:00:00,1054.73,2981.52,339.51,3540.7,151,469.28
2021/11/17 下午 4:00:00,1089.01,2981.24,339.12,3549,153.49,468.14
2021/11/18 下午 4:00:00,1096.38,3014.18,341.27,3696.06,157.87,469.73
2021/11/19 下午 4:00:00,1137.06,2999.05,343.11,3676.57,160.55,468.89
2021/11/22 下午 4:00:00,1156.87,2941.57,339.83,3572.57,161.02,467.57
2021/11/23 下午 4:00:00,1109.03,2935.14,337.68,3580.04,161.41,468.19
2021/11/24 下午 4:00:00,1116,2934.35,337.91,3580.41,161.94,469.44
2021/11/26 下午 1:00:00,1081.92,2856.12,329.68,3504.56,156.81,458.97
2021/11/29 下午 4:00:00,1136.99,2922.28,336.63,3561.57,160.24,464.6
2021/11/30 下午 4:00:00,1144.76,2849.04,330.59,3507.07,165.3,455.56
2021/12/1 下午 4:00:00,1095,2832.36,330.08,3443.72,164.77,450.5
2021/12/2 下午 4:00:00,1084.6,2875.53,329.49,3437.36,163.76,457.4
2021/12/3 下午 4:00:00,1014.97,2850.41,323.01,3389.79,161.84,453.42
2021/12/6 下午 4:00:00,1009.01,2875.93,326.19,3427.37,165.32,458.79
2021/12/7 下午 4:00:00,1051.75,2960.73,334.92,3523.29,171.18,468.28
2021/12/8 下午 4:00:00,1068.96,2974.41,334.97,3523.16,175.08,469.52
2021/12/9 下午 4:00:00,1003.8,2962.12,333.1,3483.42,174.56,466.35
