"
Date",TSLA,GOOG,MSFT,AMZN,AAPL,SP500
2020/4/21 下午 4:00:00,137.34,1216.34,167.82,2328.12,67.09,273.04
2020/4/22 下午 4:00:00,146.42,1263.21,173.52,2363.49,69.03,279.1
2020/4/23 下午 4:00:00,141.13,1276.31,171.42,2399.45,68.76,279.08
2020/4/24 下午 4:00:00,145.03,1279.31,174.55,2410.22,70.74,282.97
2020/4/27 下午 4:00:00,159.75,1275.88,174.05,2376,70.79,287.05
2020/4/28 下午 4:00:00,153.82,1233.67,169.81,2314.08,69.65,285.73
2020/4/29 下午 4:00:00,160.1,1341.48,177.43,2372.71,71.93,293.21
2020/4/30 下午 4:00:00,156.38,1348.66,179.21,2474,73.45,290.48
2020/5/1 下午 4:00:00,140.26,1320.61,174.57,2286.04,72.27,282.79
2020/5/4 下午 4:00:00,152.24,1326.8,178.84,2315.99,73.29,283.57
2020/5/5 下午 4:00:00,153.64,1351.11,180.76,2317.8,74.39,286.19
2020/5/6 下午 4:00:00,156.52,1347.3,182.54,2351.26,75.16,284.25
2020/5/7 下午 4:00:00,156.01,1372.56,183.6,2367.61,75.94,287.68
2020/5/8 下午 4:00:00,163.88,1388.37,184.68,2379.61,77.53,292.44
2020/5/11 下午 4:00:00,162.26,1403.26,186.74,2409,78.75,292.5
2020/5/12 下午 4:00:00,161.88,1375.74,182.51,2356.95,77.85,286.67
2020/5/13 下午 4:00:00,158.19,1349.33,179.75,2367.92,76.91,281.6
2020/5/14 下午 4:00:00,160.67,1356.13,180.53,2388.85,77.39,284.97
2020/5/15 下午 4:00:00,159.83,1373.19,183.16,2409.78,76.93,286.28
2020/5/18 下午 4:00:00,162.73,1383.94,184.91,2426.26,78.74,295
2020/5/19 下午 4:00:00,161.6,1373.49,183.63,2449.33,78.29,291.97
2020/5/20 下午 4:00:00,163.11,1406.72,185.66,2497.94,79.81,296.93
2020/5/21 下午 4:00:00,165.52,1402.8,183.43,2446.74,79.21,294.88
2020/5/22 下午 4:00:00,163.38,1410.42,183.51,2436.88,79.72,295.44
2020/5/26 下午 4:00:00,163.77,1417.02,181.57,2421.86,79.18,299.08
2020/5/27 下午 4:00:00,164.05,1417.84,181.81,2410.39,79.53,303.53
2020/5/28 下午 4:00:00,161.16,1416.73,181.4,2401.1,79.56,302.97
2020/5/29 下午 4:00:00,167,1428.92,183.25,2442.37,79.49,304.32
2020/6/1 下午 4:00:00,179.62,1431.82,182.83,2471.04,80.46,305.55
2020/6/2 下午 4:00:00,176.31,1439.22,184.91,2472.41,80.83,308.08
2020/6/3 下午 4:00:00,176.59,1436.38,185.36,2478.4,81.28,312.18
2020/6/4 下午 4:00:00,172.88,1412.18,182.92,2460.6,80.58,311.36
2020/6/5 下午 4:00:00,177.13,1438.39,187.2,2483,82.88,319.34
2020/6/8 下午 4:00:00,189.98,1446.61,188.36,2524.06,83.37,323.2
2020/6/9 下午 4:00:00,188.13,1456.16,189.8,2600.86,86,320.79
2020/6/10 下午 4:00:00,205.01,1465.85,196.84,2647.45,88.21,319
2020/6/11 下午 4:00:00,194.57,1403.84,186.27,2557.96,83.98,300.61
2020/6/12 下午 4:00:00,187.06,1413.18,187.74,2545.02,84.7,304.21
2020/6/15 下午 4:00:00,198.18,1419.85,188.94,2572.68,85.75,307.05
2020/6/16 下午 4:00:00,196.43,1442.72,193.57,2615.27,88.02,312.96
2020/6/17 下午 4:00:00,198.36,1451.12,194.24,2640.98,87.9,311.66
2020/6/18 下午 4:00:00,200.79,1435.96,196.32,2653.98,87.93,311.78
2020/6/19 下午 4:00:00,200.18,1431.72,195.15,2675.01,87.43,308.64
2020/6/22 下午 4:00:00,198.86,1451.86,200.57,2713.82,89.72,310.62
2020/6/23 下午 4:00:00,200.36,1464.41,201.91,2764.41,91.63,312.05
2020/6/24 下午 4:00:00,192.17,1431.97,197.84,2734.4,90.02,304.09
2020/6/25 下午 4:00:00,197.2,1441.33,200.34,2754.58,91.21,307.35
2020/6/26 下午 4:00:00,191.95,1359.9,196.33,2692.87,88.41,300.05
2020/6/29 下午 4:00:00,201.87,1394.97,198.44,2680.38,90.45,304.46
2020/6/30 下午 4:00:00,215.96,1413.61,203.51,2758.82,91.2,308.36
2020/7/1 下午 4:00:00,223.93,1438.04,204.7,2878.7,91.03,310.52
2020/7/2 下午 4:00:00,241.73,1464.7,206.26,2890.3,91.03,312.23
2020/7/6 下午 4:00:00,274.32,1495.7,210.7,3057.04,93.46,317.05
2020/7/7 下午 4:00:00,277.97,1485.18,208.25,3000.12,93.17,313.78
2020/7/8 下午 4:00:00,273.18,1496,212.83,3081.11,95.34,316.18
2020/7/9 下午 4:00:00,278.86,1510.99,214.32,3182.63,95.68,314.38
2020/7/10 下午 4:00:00,308.93,1541.74,213.67,3200,95.92,317.59
2020/7/13 下午 4:00:00,299.41,1511.34,207.07,3104,95.48,314.84
2020/7/14 下午 4:00:00,303.36,1520.58,208.35,3084,97.06,318.92
2020/7/15 下午 4:00:00,309.2,1513.64,208.04,3008.87,97.73,321.85
2020/7/16 下午 4:00:00,300.13,1518,203.92,2999.9,96.52,320.79
2020/7/17 下午 4:00:00,300.17,1515.55,202.88,2961.97,96.33,321.72
2020/7/20 下午 4:00:00,328.6,1565.72,211.6,3196.84,98.36,324.32
2020/7/21 下午 4:00:00,313.67,1558.42,208.75,3138.29,97,325.01
2020/7/22 下午 4:00:00,318.47,1568.49,211.75,3099.91,97.27,326.86
2020/7/23 下午 4:00:00,302.61,1515.68,202.54,2986.55,92.85,322.96
2020/7/24 下午 4:00:00,283.4,1511.87,201.3,3008.91,92.62,320.88
